content,label
什么是电气一次设备和一次回路,1
一次设备是指直接生产输送和分配电能的高压电气设备它包括发电机变压器断路器隔离开关自动开关接触器刀开关母线输电线路电力电缆电抗器电动机等,0
由一次设备相互连接构成发电输电配电或进行其它生产的电气回路称为一次回路或一次接线系统,0
什么是电气二次设备和二次回路,1
二次设备是指对一次设备的工作进行监测控制调节保护以及为运行维护人员提供运行工况或生产指挥信号所需的低压电气设备如熔断器控制开关继电器控制电缆等,0
由二次设备相互连接构成对一次设备进行监测控制调节和保护的电气回路称为二次回路或二次接线系统,0
哪些回路属于连接保护装置的二次回路,1
连接保护装置的二次回路有以下几种回路,0
模拟量输入回路从电流互感器电压互感器二次侧端子开始到有关继电保护装置的二次回路对多油断路器或变压器等套管互感器自端子箱开始,0
电源回路从继电保护直流分路熔丝开始到有关保护装置的二次回路,0
信号回路从保护装置到控制屏和中央信号屏间的直流回路,0
控制回路继电保护装置出口端子排到断路器操作箱端子排的跳合闸回路,0
二次回路的电路图按任务不同可分为几种,1
按任务不同可分为三种即原理图展开图和安装接线图,0
看二次图的基本方法,1
先交流后直流交流看电源直流找线圈抓住触点不放松一个一个全查清先上后下先左后右屏外设备一个也不漏,0
怎样读端子排图,1
端子排图表示屏内与屏外设备间的连接端子同一个屏内不同安装单位设备间的连接端子以及屏内设备与安装于屏后顶部设备间的连接端子的组合端子排图一般为三列中间列的编号是端子排的顺序号左列是屏内设备的编号右列是指连接电缆的去向和电缆所连接设备接线柱的标号,0
什么是二次回路标号,1
为便于安装运行和维护在二次回路中的所有设备间的连线都要进行标号这就是二次回路标号标号一般采用数字或数字和文字的组合它表明了回路的性质和用途,0
标号的基本原则是什么,0
,0
回路标号的基本原则是凡是各设备间要用控制电缆经端子排进行联系的都要按回路原则进行标号此外某些装在屏顶上的设备与屏内设备的连接也需要经过端子排此时屏顶设备就可看作是屏外设备而在其连接线上同样按回路编号原则给以相应的标号,0
为了明确起见对直流回路和交流回路采用不同的标号方法而在交直流回路中对各种不同的回路又赋于不同的数字符号因此在二次回路接线图中我们看到标号后就能知道这一回路的性质而便于维护和检修,0
二次回路标号的基本方法是什么,1
